Name,Site.Name,Year,Habitat,Row,Column,Label,Annotator,Date annotated
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,1966,3578,Dicsp,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2242,320,Unk,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2166,225,Unk,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2326,1205,Macro,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2263,861,Turf thick,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2325,832,Turf thick,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2123,2022,Turf thin,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2351,1639,Dicsp,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2435,2413,Unk,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2340,2195,Macro,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2473,1662,LIME,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_10.png,Carrie Bow Reef,2015,Fore Reef,2440,3440,SSID,jonesms,2017-02-22 18:37:27+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,252,264,Unk,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,395,391,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,323,109,Lob_spp,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,425,328,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,414,247,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,220,1319,CCA 1,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,144,1142,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,353,1831,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,406,1956,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,336,1643,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,456,2059,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,149,2644,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,242,3535,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,204,3278,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,364,3545,Unk,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,523,689,Unk,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,872,1034,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,854,960,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,727,940,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,904,1938,Unk,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,856,2317,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,503,2526,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,881,3205,Unk,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1139,509,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1270,1206,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1245,996,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1159,1951,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1342,2408,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1056,2259,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1182,3676,SSID,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1359,3374,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1926,299,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1730,1302,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1682,1279,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1666,2106,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1787,1610,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1475,1683,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1466,2442,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1509,3367,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,1769,3549,Turf thick,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2254,115,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2060,21,Pgor,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2297,1054,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2057,785,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2108,1081,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2027,1793,LSUB_RUB,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2237,2399,LSUB_RUB,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2298,2350,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2041,2587,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_11.png,Carrie Bow Reef,2015,Fore Reef,2411,2280,Sand,jonesms,2017-02-22 18:40:44+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,280,783,Lob_spp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,417,490,Lob_spp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,170,1533,Unk,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,515,1495,LSUB_RUB,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,447,1569,Pgor,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,524,1035,LSUB_RUB,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,139,2447,Macro,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,460,2232,Pgor,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,235,2434,Unk,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,363,2019,Dicsp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,267,3012,SHAD,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,364,3449,SSID,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,76,3425,Pgor,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,522,3801,MILA,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,924,817,LIME,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,782,568,Lob_spp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,732,1259,Hal_spp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,565,1052,LSUB_RUB,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,934,1219,Hal_spp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,730,1986,EUNSPP,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,643,2907,Pgor,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,787,3272,Pgor,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1010,3973,Unk,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1028,3809,Macro,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1441,693,Turf thin,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1389,1458,Turf thin,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1331,1554,Turf thin,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1564,950,Turf thin,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1236,2117,Hal_spp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1365,1773,Turf thin,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1453,2203,Hal_spp,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1211,3070,Pgor,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1598,3270,Macro,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1425,3748,Turf thin,jonesms,2017-02-22 19:25:22+00:00
20150917_CBC-Central-Reef_PQ_Seemann_12.png,Carrie Bow Reef,2015,Fore Reef,1366,3480,Turf thin,jonesms,2017-02-22 19:25:22+00:00
